Experiment,Channel,Section,Treatment,Status,Body_Mass,Growth_Rate_SGRW_Before_Release,Growth_Rate_SGRW_After_Release
Exp_1_Experimental_Streams,B,7,GH,Recaptured,7.74,2.92010324,1.714586377
Exp_1_Experimental_Streams,B,7,GH,Recaptured,5.65,2.843921677,0.652482445
Exp_1_Experimental_Streams,B,7,GH,Recaptured,12.82,3.870904237,1.902746645
Exp_1_Experimental_Streams,B,7,GH,Recaptured,15.23,2.721535081,2.166846666
Exp_1_Experimental_Streams,B,7,GH,Recaptured,7.46,2.178495593,1.327364409
Exp_1_Experimental_Streams,B,7,GH,Recaptured,13.51,1.819945807,2.277328207
Exp_1_Experimental_Streams,B,7,GH,Recaptured,9.41,2.298800067,1.738009612
Exp_1_Experimental_Streams,B,7,GH,Recaptured,5.47,3.698031182,0.578898516
Exp_1_Experimental_Streams,B,7,GH,Recaptured,10.26,2.448338646,2.062629663
Exp_1_Experimental_Streams,B,7,GH,Recaptured,5.32,2.571331517,0.825319281
Exp_1_Experimental_Streams,B,7,GH,Recaptured,7.66,4.353889233,0.924480555
Exp_1_Experimental_Streams,B,7,GH,Recaptured,8.86,1.799114658,1.544759234
Exp_1_Experimental_Streams,B,7,GH,Recaptured,8.62,1.988043964,1.330611743
Exp_1_Experimental_Streams,B,7,GH,Recaptured,8.96,2.375229267,1.760210955
Exp_1_Experimental_Streams,B,7,GH,Recaptured,9.15,NA,NA
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,3.93,0.728589624,0.91285359
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,9.47,3.440761225,1.831652078
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,12.24,2.512120693,2.325238037
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,15.66,2.588302257,2.505570602
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,10.07,1.370919988,1.971269804
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,11.38,2.139422229,1.924345929
