Experiment,Channel,Section,Treatment,Body_Mass,WARP1,WARP2
Exp_1_Experimental_Streams,B,7,GH,11.26,0.006218598,-0.001168274
Exp_1_Experimental_Streams,B,7,GH,8.64,0.002961669,-0.00296869
Exp_1_Experimental_Streams,B,7,GH,10.13,0.013571847,0.004551636
Exp_1_Experimental_Streams,B,7,GH,10.29,0.003500864,0.003177639
Exp_1_Experimental_Streams,B,7,GH,9.81,0.005771677,0.003780354
Exp_1_Experimental_Streams,B,7,GH,7.74,0.001560317,0.008288853
Exp_1_Experimental_Streams,B,7,GH,5.65,-0.000115896,0.012263928
Exp_1_Experimental_Streams,B,7,GH,12.82,0.003387787,0.002114779
Exp_1_Experimental_Streams,B,7,GH,15.23,0.016359899,-0.001287085
Exp_1_Experimental_Streams,B,7,GH,13.51,0.011855148,0.00230843
Exp_1_Experimental_Streams,B,7,GH,9.41,0.004681578,0.003451611
Exp_1_Experimental_Streams,B,7,GH,5.47,-0.010704873,0.004251286
Exp_1_Experimental_Streams,B,7,GH,10.26,0.005696924,-0.00112781
Exp_1_Experimental_Streams,B,7,GH,5.32,-0.005524063,0.007544892
Exp_1_Experimental_Streams,B,7,GH,7.66,-0.00514056,0.007240834
Exp_1_Experimental_Streams,B,7,GH,8.86,0.006417977,0.007824434
